,Sentence ID,Dialogue ID,author,Category,shortcode,timestamp,likes,comments,caption,text,Hash_tag2,clean_txt,token_txt,tokenized,neg,neu,pos,compound
0,0,0,shmee150,Automotive,CSzoxcyrzj2,8/20/2021 18:48,19080,49,"Photo shared by Tim - Shmee on August 20, 2021 tagging @philwilson, @shmee150wastaken, and @bannedauto. May be an image of 1 person and car.","Back at the wheel of an SF90! With @bannedauto and @philwilson I'm checking out this stunning Assetto Fiorano car and thinking about the final spec I'll opt for mine, which actually needs to be locked next month. I'm also delighted to say that again the car has impressed me, I think it's one of the very best supercars currently on the market, mixing insane performance with new technology in such a seamless way. Needless to say, I'm quite excited about it! #Ferrari #SF90 #futureshmeemobile #AssettoFiorano #BannedAuto #LAcars #Shmee150","[['Ferrari'], ['SF90'], ['futureshmeemobile'], ['AssettoFiorano'], ['BannedAuto'], ['LAcars'], ['Shmee150']]",['Back at the wheel of an SF90 With bannedauto and philwilson Im checking out this stunning Assetto Fiorano car and thinking about the final spec Ill opt for mine which actually needs to be locked next month Im also delighted to say that again the car has impressed me I think its one of the very best supercars currently on the market mixing insane performance with new technology in such a seamless way Needless to say Im quite excited about it Ferrari SF90 futureshmeemobile AssettoFiorano BannedAuto LAcars Shmee150'],['Back at the wheel of an SF90 With bannedauto and philwilson Im checking out this stunning Assetto Fiorano car and thinking about the final spec Ill opt for mine which actually needs to be locked next month Im also delighted to say that again the car has impressed me I think its one of the very best supercars currently on the market mixing insane performance with new technology in such a seamless way Needless to say Im quite excited about it Ferrari SF90 futureshmeemobile AssettoFiorano BannedAuto LAcars Shmee150'],"[""['Back"", 'at', 'the', 'wheel', 'of', 'an', 'SF90', 'With', 'bannedauto', 'and', 'philwilson', 'Im', 'checking', 'out', 'this', 'stunning', 'Assetto', 'Fiorano', 'car', 'and', 'thinking', 'about', 'the', 'final', 'spec', 'Ill', 'opt', 'for', 'mine', 'which', 'actually', 'need', 'to', 'be', 'locked', 'next', 'month', 'Im', 'also', 'delighted', 'to', 'say', 'that', 'again', 'the', 'car', 'ha', 'impressed', 'me', 'I', 'think', 'it', 'one', 'of', 'the', 'very', 'best', 'supercars', 'currently', 'on', 'the', 'market', 'mixing', 'insane', 'performance', 'with', 'new', 'technology', 'in', 'such', 'a', 'seamless', 'way', 'Needless', 'to', 'say', 'Im', 'quite', 'excited', 'about', 'it', 'Ferrari', 'SF90', 'futureshmeemobile', 'AssettoFiorano', 'BannedAuto', 'LAcars', ""Shmee150']""]",0.027,0.801,0.172,0.9379
1,1,1,shmee150,Automotive,CSr2jQPjy59,8/17/2021 18:14,22143,100,"Photo shared by Tim - Shmee on August 17, 2021 tagging @ct2go, @shmee150wastaken, and @supercarsteven. May be an image of car and road.","It's a P1 kinda day! Out for a drive in @supercarsteven's newly purchased Ice Silver P1, in a double convoy with @ct2go's full carbon P1 too. Does make me wonder about P1 vs Senna, two very different Ultimate Series cars in their approach, and still remarkable how game changing the P1 was when presented nearly 9 years ago! #McLaren #P1 #McLarenP1 #testdrive #CarWeek #Shmee150","[['McLaren'], ['P1'], ['McLarenP1'], ['testdrive'], ['CarWeek'], ['Shmee150']]",['Its a P1 kinda day Out for a drive in supercarstevens newly purchased Ice Silver P1 in a double convoy with ct2gos full carbon P1 too Does make me wonder about P1 vs Senna two very different Ultimate Series cars in their approach and still remarkable how game changing the P1 was when presented nearly 9 years ago McLaren P1 McLarenP1 testdrive CarWeek Shmee150'],['Its a P1 kinda day Out for a drive in supercarstevens newly purchased Ice Silver P1 in a double convoy with ct2gos full carbon P1 too Does make me wonder about P1 vs Senna two very different Ultimate Series cars in their approach and still remarkable how game changing the P1 was when presented nearly 9 years ago McLaren P1 McLarenP1 testdrive CarWeek Shmee150'],"[""['Its"", 'a', 'P1', 'kinda', 'day', 'Out', 'for', 'a', 'drive', 'in', 'supercarstevens', 'newly', 'purchased', 'Ice', 'Silver', 'P1', 'in', 'a', 'double', 'convoy', 'with', 'ct2gos', 'full', 'carbon', 'P1', 'too', 'Does', 'make', 'me', 'wonder', 'about', 'P1', 'v', 'Senna', 'two', 'very', 'different', 'Ultimate', 'Series', 'car', 'in', 'their', 'approach', 'and', 'still', 'remarkable', 'how', 'game', 'changing', 'the', 'P1', 'wa', 'when', 'presented', 'nearly', '9', 'year', 'ago', 'McLaren', 'P1', 'McLarenP1', 'testdrive', 'CarWeek', ""Shmee150']""]",0,0.934,0.066,0.6351
2,2,2,shmee150,Automotive,CSpWzdxJIIV,8/16/2021 18:58,21606,130,"Photo shared by Tim - Shmee on August 16, 2021 tagging @mercedesbenz, @mercedesbenzmuseum, @mbclassiccenter, and @shmee150wastaken. May be an image of 1 person, car and outdoors.","The beautiful 300SL Roadster is without a shadow of a doubt my dream classic car. Driving this particular example that's for sale with @mbclassiccenter, thanks to @mercedesbenzmuseum, while car spotting countless hypercars around Pebble Beach could not be better! Maybe one day for @theshmeemobiles, maybe one day... #Mercedes #300SL #PebbleBeach #CarWeek #testdrive #Shmee150","[['Mercedes'], ['300SL'], ['PebbleBeach'], ['CarWeek'], ['testdrive'], ['Shmee150']]",['The beautiful 300SL Roadster is without a shadow of a doubt my dream classic car Driving this particular example thats for sale with mbclassiccenter thanks to mercedesbenzmuseum while car spotting countless hypercars around Pebble Beach could not be better Maybe one day for theshmeemobiles maybe one day Mercedes 300SL PebbleBeach CarWeek testdrive Shmee150'],['The beautiful 300SL Roadster is without a shadow of a doubt my dream classic car Driving this particular example thats for sale with mbclassiccenter thanks to mercedesbenzmuseum while car spotting countless hypercars around Pebble Beach could not be better Maybe one day for theshmeemobiles maybe one day Mercedes 300SL PebbleBeach CarWeek testdrive Shmee150'],"[""['The"", 'beautiful', '300SL', 'Roadster', 'is', 'without', 'a', 'shadow', 'of', 'a', 'doubt', 'my', 'dream', 'classic', 'car', 'Driving', 'this', 'particular', 'example', 'thats', 'for', 'sale', 'with', 'mbclassiccenter', 'thanks', 'to', 'mercedesbenzmuseum', 'while', 'car', 'spotting', 'countless', 'hypercars', 'around', 'Pebble', 'Beach', 'could', 'not', 'be', 'better', 'Maybe', 'one', 'day', 'for', 'theshmeemobiles', 'maybe', 'one', 'day', 'Mercedes', '300SL', 'PebbleBeach', 'CarWeek', 'testdrive', ""Shmee150']""]",0.04,0.772,0.188,0.8315
3,3,3,shmee150,Automotive,CSkdxyJAk2n,8/14/2021 21:23,30069,113,"Photo shared by Tim - Shmee on August 14, 2021 tagging @bugatti, @thequailevents, and @shmee150wastaken. May be an image of car and outdoors.","The breathtaking @bugatti Bolide at @thequailevents which is now going into production, there will be 40 of them made. This year had some awesome cars on show, with the new Lamborghini Countach also making its debut #Bugatti #Bolide #Quail #CarWeek #Shmee150","[['Bugatti'], ['Bolide'], ['Quail'], ['CarWeek'], ['Shmee150']]",['The breathtaking bugatti Bolide at thequailevents which is now going into production there will be 40 of them made This year had some awesome cars on show with the new Lamborghini Countach also making its debut Bugatti Bolide Quail CarWeek Shmee150'],['The breathtaking bugatti Bolide at thequailevents which is now going into production there will be 40 of them made This year had some awesome cars on show with the new Lamborghini Countach also making its debut Bugatti Bolide Quail CarWeek Shmee150'],"[""['The"", 'breathtaking', 'bugatti', 'Bolide', 'at', 'thequailevents', 'which', 'is', 'now', 'going', 'into', 'production', 'there', 'will', 'be', '40', 'of', 'them', 'made', 'This', 'year', 'had', 'some', 'awesome', 'car', 'on', 'show', 'with', 'the', 'new', 'Lamborghini', 'Countach', 'also', 'making', 'it', 'debut', 'Bugatti', 'Bolide', 'Quail', 'CarWeek', ""Shmee150']""]",0,0.846,0.154,0.7964
4,4,4,shmee150,Automotive,CSfHSEzi3BD,8/12/2021 19:30,34073,140,"Photo shared by Tim - Shmee on August 12, 2021 tagging @astonmartinlagonda, and @shmee150wastaken. May be an image of car.","The new @astonmartinlagonda Valkyrie Spider has just launched and I've taken a first look to check it out and see how the new roof system works. There will be 85 units in total, and it features a 3 piece folding roof panel, with new dihedral doors but maintains the same epic powertrain and details. First look video is live on the channel right now! #AstonMartin #Valkyrie #ValkyrieSpider #firstlook #PebbleBeach #CarWeek #Shmee150","[['AstonMartin'], ['Valkyrie'], ['ValkyrieSpider'], ['firstlook'], ['PebbleBeach'], ['CarWeek'], ['Shmee150']]",['The new astonmartinlagonda Valkyrie Spider has just launched and Ive taken a first look to check it out and see how the new roof system works There will be 85 units in total and it features a 3 piece folding roof panel with new dihedral doors but maintains the same epic powertrain and details First look video is live on the channel right now AstonMartin Valkyrie ValkyrieSpider firstlook PebbleBeach CarWeek Shmee150'],['The new astonmartinlagonda Valkyrie Spider has just launched and Ive taken a first look to check it out and see how the new roof system works There will be 85 units in total and it features a 3 piece folding roof panel with new dihedral doors but maintains the same epic powertrain and details First look video is live on the channel right now AstonMartin Valkyrie ValkyrieSpider firstlook PebbleBeach CarWeek Shmee150'],"[""['The"", 'new', 'astonmartinlagonda', 'Valkyrie', 'Spider', 'ha', 'just', 'launched', 'and', 'Ive', 'taken', 'a', 'first', 'look', 'to', 'check', 'it', 'out', 'and', 'see', 'how', 'the', 'new', 'roof', 'system', 'work', 'There', 'will', 'be', '85', 'unit', 'in', 'total', 'and', 'it', 'feature', 'a', '3', 'piece', 'folding', 'roof', 'panel', 'with', 'new', 'dihedral', 'door', 'but', 'maintains', 'the', 'same', 'epic', 'powertrain', 'and', 'detail', 'First', 'look', 'video', 'is', 'live', 'on', 'the', 'channel', 'right', 'now', 'AstonMartin', 'Valkyrie', 'ValkyrieSpider', 'firstlook', 'PebbleBeach', 'CarWeek', ""Shmee150']""]",0,0.978,0.022,0.1386
5,5,5,shmee150,Automotive,CScxYOcCz0-,8/11/2021 21:40,22265,110,"Photo shared by Tim - Shmee on August 11, 2021 tagging @shmee150wastaken, and @czinger_vehicles. May be an image of car and outdoors.","First stop at Car Week to check out the updated @czinger_vehicles 21C! Now the lap record holder at Laguna Seca, it features a wider body and even more aero, while still boasting a 2.88l TT V8 and 3 electric motors for 1,250hp while weighing just 1,250kg too. Uniquely it features inline tandem seating with a central position, and must make for the most extraordinary drive #Czinger #Czinger21C #CarWeek #Shmee150","[['Czinger'], ['Czinger21C'], ['CarWeek'], ['Shmee150']]",['First stop at Car Week to check out the updated czingervehicles 21C Now the lap record holder at Laguna Seca it features a wider body and even more aero while still boasting a 288l TT V8 and 3 electric motors for 1250hp while weighing just 1250kg too Uniquely it features inline tandem seating with a central position and must make for the most extraordinary drive Czinger Czinger21C CarWeek Shmee150'],['First stop at Car Week to check out the updated czingervehicles 21C Now the lap record holder at Laguna Seca it features a wider body and even more aero while still boasting a 288l TT V8 and 3 electric motors for 1250hp while weighing just 1250kg too Uniquely it features inline tandem seating with a central position and must make for the most extraordinary drive,"[""['First"", 'stop', 'at', 'Car', 'Week', 'to', 'check', 'out', 'the', 'updated', 'czingervehicles', '21C', 'Now', 'the', 'lap', 'record', 'holder', 'at', 'Laguna', 'Seca', 'it', 'feature', 'a', 'wider', 'body', 'and', 'even', 'more', 'aero', 'while', 'still', 'boasting', 'a', '288l', 'TT', 'V8', 'and', '3', 'electric', 'motor', 'for', '1250hp', 'while', 'weighing', 'just', '1250kg', 'too', 'Uniquely', 'it', 'feature', 'inline', 'tandem', 'seating', 'with', 'a', 'central', 'position', 'and', 'must', 'make', 'for', 'the', 'most', 'extraordinary', 'drive', 'Czinger', 'Czinger21C', 'CarWeek', ""Shmee150']""]",0.037,0.963,0,-0.3595
6,5,5,shmee150,Automotive,CScxYOcCz0-,8/11/2021 21:40,22265,110,"Photo shared by Tim - Shmee on August 11, 2021 tagging @shmee150wastaken, and @czinger_vehicles. May be an image of car and outdoors.","First stop at Car Week to check out the updated @czinger_vehicles 21C! Now the lap record holder at Laguna Seca, it features a wider body and even more aero, while still boasting a 2.88l TT V8 and 3 electric motors for 1,250hp while weighing just 1,250kg too. Uniquely it features inline tandem seating with a central position, and must make for the most extraordinary drive #Czinger #Czinger21C #CarWeek #Shmee150","[['Czinger'], ['Czinger21C'], ['CarWeek'], ['Shmee150']]",['First stop at Car Week to check out the updated czingervehicles 21C Now the lap record holder at Laguna Seca it features a wider body and even more aero while still boasting a 288l TT V8 and 3 electric motors for 1250hp while weighing just 1250kg too Uniquely it features inline tandem seating with a central position and must make for the most extraordinary drive Czinger Czinger21C CarWeek Shmee150'],Czinger Czinger21C,"[""['First"", 'stop', 'at', 'Car', 'Week', 'to', 'check', 'out', 'the', 'updated', 'czingervehicles', '21C', 'Now', 'the', 'lap', 'record', 'holder', 'at', 'Laguna', 'Seca', 'it', 'feature', 'a', 'wider', 'body', 'and', 'even', 'more', 'aero', 'while', 'still', 'boasting', 'a', '288l', 'TT', 'V8', 'and', '3', 'electric', 'motor', 'for', '1250hp', 'while', 'weighing', 'just', '1250kg', 'too', 'Uniquely', 'it', 'feature', 'inline', 'tandem', 'seating', 'with', 'a', 'central', 'position', 'and', 'must', 'make', 'for', 'the', 'most', 'extraordinary', 'drive', 'Czinger', 'Czinger21C', 'CarWeek', ""Shmee150']""]",0.037,0.963,0,-0.3595
7,5,5,shmee150,Automotive,CScxYOcCz0-,8/11/2021 21:40,22265,110,"Photo shared by Tim - Shmee on August 11, 2021 tagging @shmee150wastaken, and @czinger_vehicles. May be an image of car and outdoors.","First stop at Car Week to check out the updated @czinger_vehicles 21C! Now the lap record holder at Laguna Seca, it features a wider body and even more aero, while still boasting a 2.88l TT V8 and 3 electric motors for 1,250hp while weighing just 1,250kg too. Uniquely it features inline tandem seating with a central position, and must make for the most extraordinary drive #Czinger #Czinger21C #CarWeek #Shmee150","[['Czinger'], ['Czinger21C'], ['CarWeek'], ['Shmee150']]",['First stop at Car Week to check out the updated czingervehicles 21C Now the lap record holder at Laguna Seca it features a wider body and even more aero while still boasting a 288l TT V8 and 3 electric motors for 1250hp while weighing just 1250kg too Uniquely it features inline tandem seating with a central position and must make for the most extraordinary drive Czinger Czinger21C CarWeek Shmee150'],CarWeek Shmee150'],"[""['First"", 'stop', 'at', 'Car', 'Week', 'to', 'check', 'out', 'the', 'updated', 'czingervehicles', '21C', 'Now', 'the', 'lap', 'record', 'holder', 'at', 'Laguna', 'Seca', 'it', 'feature', 'a', 'wider', 'body', 'and', 'even', 'more', 'aero', 'while', 'still', 'boasting', 'a', '288l', 'TT', 'V8', 'and', '3', 'electric', 'motor', 'for', '1250hp', 'while', 'weighing', 'just', '1250kg', 'too', 'Uniquely', 'it', 'feature', 'inline', 'tandem', 'seating', 'with', 'a', 'central', 'position', 'and', 'must', 'make', 'for', 'the', 'most', 'extraordinary', 'drive', 'Czinger', 'Czinger21C', 'CarWeek', ""Shmee150']""]",0.037,0.963,0,-0.3595
8,6,6,shmee150,Automotive,CScN67giFvV,8/11/2021 16:30,13466,77,"Photo shared by Tim - Shmee on August 11, 2021 tagging @porsche, @shmee150wastaken, and @hgreglux. May be an image of car and road.","Driving the stunning Porsche Targa 4S Heritage Design Edition thanks to @hgreglux in Miami! The details on this car are spectacular, and I actually would have bought one if allocations had been available, but today I'm taking my first proper look around it and going out for a drive, to see what I'm missing out on. Here in Florida, H Greg Lux actually have 3 of them for sale in different specs, this one in Cherry Red with a manual gearbox is my pick for sure #Porsche #911Targa #HeritageDesignEdition #testdrive #HGregLux #Miami #Shmee150","[['Porsche'], ['911Targa'], ['HeritageDesignEdition'], ['testdrive'], ['HGregLux'], ['Miami'], ['Shmee150']]",['Driving the stunning Porsche Targa 4S Heritage Design Edition thanks to hgreglux in Miami The details on this car are spectacular and I actually would have bought one if allocations had been available but today Im taking my first proper look around it and going out for a drive to see what Im missing out on Here in Florida H Greg Lux actually have 3 of them for sale in different specs this one in Cherry Red with a manual gearbox is my pick for sure Porsche 911Targa HeritageDesignEdition testdrive HGregLux Miami Shmee150'],['Driving the stunning Porsche Targa 4S Heritage Design Edition thanks to hgreglux in Miami The details on this car are spectacular and I actually would have bought one if allocations had been available but today Im taking my first proper look around it and going out for a drive to see what Im missing out on Here in Florida H Greg Lux actually have 3 of them for sale in different specs this one in Cherry Red with a manual gearbox is my pick for sure Porsche 911Targa HeritageDesignEdition testdrive HGregLux Miami Shmee150'],"[""['Driving"", 'the', 'stunning', 'Porsche', 'Targa', '4S', 'Heritage', 'Design', 'Edition', 'thanks', 'to', 'hgreglux', 'in', 'Miami', 'The', 'detail', 'on', 'this', 'car', 'are', 'spectacular', 'and', 'I', 'actually', 'would', 'have', 'bought', 'one', 'if', 'allocation', 'had', 'been', 'available', 'but', 'today', 'Im', 'taking', 'my', 'first', 'proper', 'look', 'around', 'it', 'and', 'going', 'out', 'for', 'a', 'drive', 'to', 'see', 'what', 'Im', 'missing', 'out', 'on', 'Here', 'in', 'Florida', 'H', 'Greg', 'Lux', 'actually', 'have', '3', 'of', 'them', 'for', 'sale', 'in', 'different', 'spec', 'this', 'one', 'in', 'Cherry', 'Red', 'with', 'a', 'manual', 'gearbox', 'is', 'my', 'pick', 'for', 'sure', 'Porsche', '911Targa', 'HeritageDesignEdition', 'testdrive', 'HGregLux', 'Miami', ""Shmee150']""]",0.03,0.896,0.075,0.4926
9,7,7,shmee150,Automotive,CSZ1qZfi1mw,8/10/2021 18:20,20223,56,"Photo shared by Tim - Shmee on August 10, 2021 tagging @savagegarage, and @shmee150wastaken. May be an image of 1 person, standing, car and outdoors.","Randy @savagegarage has bought back his Pagani Huayra! I never saw it when he owned it before but what a car for him to have in the collection and actually drive as much as he does. Oh, that SLS Black Series is new too, good choice! #SavageGarage #Pagani #Huayra #Miami #Shmee150","[['SavageGarage'], ['Pagani'], ['Huayra'], ['Miami'], ['Shmee150']]",['Randy savagegarage has bought back his Pagani Huayra I never saw it when he owned it before but what a car for him to have in the collection and actually drive as much as he does Oh that SLS Black Series is new too good choice SavageGarage Pagani Huayra Miami Shmee150'],['Randy savagegarage has bought back his Pagani Huayra I never saw it when he owned it before but what a car for him to have in the collection and actually drive as much as he does Oh that SLS Black Series is new too good choice SavageGarage Pagani Huayra Miami Shmee150'],"[""['Randy"", 'savagegarage', 'ha', 'bought', 'back', 'his', 'Pagani', 'Huayra', 'I', 'never', 'saw', 'it', 'when', 'he', 'owned', 'it', 'before', 'but', 'what', 'a', 'car', 'for', 'him', 'to', 'have', 'in', 'the', 'collection', 'and', 'actually', 'drive', 'a', 'much', 'a', 'he', 'doe', 'Oh', 'that', 'SLS', 'Black', 'Series', 'is', 'new', 'too', 'good', 'choice', 'SavageGarage', 'Pagani', 'Huayra', 'Miami', ""Shmee150']""]",0,0.915,0.085,0.6634
