,author,total_followers,total_following,number_posts,shortcode,timestamp,Date,time,likes,comments,engagement,average_engagement,caption,text,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Tag_10,Tag_11
0,shmee150,1581500,2857,10552,CSzoxcyrzj2,1629485286,44428.7834,44428.7834,19080,49,1.209547898,1.585372537,"Photo shared by Tim - Shmee on August 20, 2021 tagging @philwilson, @shmee150wastaken, and @bannedauto. May be an image of 1 person and car.",Back at the wheel of an SF90 With bannedauto and philwilson Im checking out this stunning Assetto Fiorano car and thinking about the final spec Ill opt for mine which actually needs to be locked next month Im also delighted to say that again the car has impressed me I think its one of the very best supercars currently on the market mixing insane performance with new technology in such a seamless way Needless to say Im quite excited about it Ferrari SF90 futureshmeemobile AssettoFiorano BannedAuto LAcars Shmee150,Ferrari ,SF90 ,futureshmeemobile ,AssettoFiorano ,BannedAuto ,LAcars ,Shmee150,,,,
1,shmee150,1581500,2857,10552,CSr2jQPjy59,1629224075,44425.76013,44425.76013,22143,100,1.406449573,1.585372537,"Photo shared by Tim - Shmee on August 17, 2021 tagging @ct2go, @shmee150wastaken, and @supercarsteven. May be an image of car and road.",Its a P1 kinda day Out for a drive in supercarstevens newly purchased Ice Silver P1 in a double convoy with ct2gos full carbon P1 too Does make me wonder about P1 vs Senna two very different Ultimate Series cars in their approach and still remarkable how game changing the P1 was when presented nearly 9 years ago McLaren P1 McLarenP1 testdrive CarWeek Shmee150,McLaren ,P1 ,McLarenP1 ,testdrive ,CarWeek ,Shmee150,,,,,
2,shmee150,1581500,2857,10552,CSpWzdxJIIV,1629140321,44424.79075,44424.79075,21606,130,1.374391401,1.585372537,"Photo shared by Tim - Shmee on August 16, 2021 tagging @mercedesbenz, @mercedesbenzmuseum, @mbclassiccenter, and @shmee150wastaken. May be an image of 1 person, car and outdoors.",The beautiful 300SL Roadster is without a shadow of a doubt my dream classic car Driving this particular example thats for sale with mbclassiccenter thanks to mercedesbenzmuseum while car spotting countless hypercars around Pebble Beach could not be better Maybe one day for theshmeemobiles maybe one day Mercedes 300SL PebbleBeach CarWeek testdrive Shmee150,Mercedes ,300SL ,PebbleBeach ,CarWeek ,testdrive ,Shmee150,,,,,
3,shmee150,1581500,2857,10552,CSkdxyJAk2n,1628976206,44422.89127,44422.89127,30069,113,1.908441353,1.585372537,"Photo shared by Tim - Shmee on August 14, 2021 tagging @bugatti, @thequailevents, and @shmee150wastaken. May be an image of car and outdoors.",The breathtaking bugatti Bolide at thequailevents which is now going into production there will be 40 of them made This year had some awesome cars on show with the new Lamborghini Countach also making its debut Bugatti Bolide Quail CarWeek Shmee150,Bugatti ,Bolide ,Quail ,CarWeek ,Shmee150,,,,,,
4,shmee150,1581500,2857,10552,CSfHSEzi3BD,1628796639,44420.81295,44420.81295,34073,140,2.163325956,1.585372537,"Photo shared by Tim - Shmee on August 12, 2021 tagging @astonmartinlagonda, and @shmee150wastaken. May be an image of car.",The new astonmartinlagonda Valkyrie Spider has just launched and Ive taken a first look to check it out and see how the new roof system works There will be 85 units in total and it features a 3 piece folding roof panel with new dihedral doors but maintains the same epic powertrain and details First look video is live on the channel right now AstonMartin Valkyrie ValkyrieSpider firstlook PebbleBeach CarWeek Shmee150,AstonMartin ,Valkyrie ,ValkyrieSpider ,firstlook ,PebbleBeach ,CarWeek ,Shmee150,,,,
5,shmee150,1581500,2857,10552,CScxYOcCz0-,1628718046,44419.90331,44419.90331,22265,110,1.41479608,1.585372537,"Photo shared by Tim - Shmee on August 11, 2021 tagging @shmee150wastaken, and @czinger_vehicles. May be an image of car and outdoors.",First stop at Car Week to check out the updated czinger_vehicles 21C Now the lap record holder at Laguna Seca it features a wider body and even more aero while still boasting a 288l TT V8 and 3 electric motors for 1250hp while weighing just 1250kg too Uniquely it features inline tandem seating with a central position and must make for the most extraordinary drive Czinger Czinger21C CarWeek Shmee150,Czinger ,Czinger21C ,CarWeek ,Shmee150,,,,,,,
6,shmee150,1581500,2857,10552,CScN67giFvV,1628699456,44419.68815,44419.68815,13466,77,0.856338919,1.585372537,"Photo shared by Tim - Shmee on August 11, 2021 tagging @porsche, @shmee150wastaken, and @hgreglux. May be an image of car and road.",Driving the stunning Porsche Targa 4S Heritage Design Edition thanks to hgreglux in Miami The details on this car are spectacular and I actually would have bought one if allocations had been available but today Im taking my first proper look around it and going out for a drive to see what Im missing out on Here in Florida H Greg Lux actually have 3 of them for sale in different specs this one in Cherry Red with a manual gearbox is my pick for sure Porsche 911Targa HeritageDesignEdition testdrive HGregLux Miami Shmee150,Porsche ,911Targa ,HeritageDesignEdition ,testdrive ,HGregLux ,Miami ,Shmee150,,,,
7,shmee150,1581500,2857,10552,CSZ1qZfi1mw,1628619629,44418.76422,44418.76422,20223,56,1.282263674,1.585372537,"Photo shared by Tim - Shmee on August 10, 2021 tagging @savagegarage, and @shmee150wastaken. May be an image of 1 person, standing, car and outdoors.",Randy savagegarage has bought back his Pagani Huayra I never saw it when he owned it before but what a car for him to have in the collection and actually drive as much as he does Oh that SLS Black Series is new too good choice SavageGarage Pagani Huayra Miami Shmee150,SavageGarage ,Pagani ,Huayra ,Miami ,Shmee150,,,,,,
8,shmee150,1581500,2857,10552,CSWxTcgr1gy,1628516681,44417.5727,44417.5727,26925,192,1.714638002,1.585372537,"Photo shared by Tim - Shmee on August 09, 2021 tagging @fordperformance, @ford, @shelbyamerican, @shmee150wastaken, and @theshmeemobiles. May be an image of car and road.",Reunited with theshmeemobiles lime green beast Back in Miami for a quick stop before heading to California and Car Week for some crazy days ahead Its so cool to be back with the GT500 after about 4 months where its been tucked away in Florida although sadly everything is too last minute to be able to get it across country for the events That wont stop the fun though its great to be back Shelby GT500 Ford Mustang Shmeemobile Shmee150,Shelby ,GT500 ,Ford ,Mustang ,Shmeemobile ,Shmee150,,,,,
9,shmee150,1581500,2857,10552,CSUvz2ppJvy,1628448789,44416.78691,44416.78691,44913,584,2.876825798,1.585372537,"Photo shared by Tim - Shmee on August 08, 2021 tagging @mercedesamg, and @theshmeemobiles. May be an image of car.",Its time theshmeemobiles AMG GT Black Series is being resprayed AMG Solarbeam Yellow and I cannot wait to see how it looks This was always the plan hence the choice of Graphite Grey Magno for the base as its the easiest to work with The transformation is being done by chartwell_derby just as per my SLS BS respray to Mystic Blue and the repairs to my Senna before Why not just order it like this you say It wasnt an option and believe me I tried It was absolutely impossible to order the car RHD UK allocation in anything other than the standard 8 choices available so this is the only way What about the value Life is too short Im going to do many thousands of miles in this car for many years to come reselling it is not in the plans Mercedes AMG GTBlackSeries Shmeemobile Shmee150,Mercedes ,AMG ,GTBlackSeries ,Shmeemobile ,Shmee150,,,,,,
10,shmee150,1581500,2857,10552,CSPncQZiNnL,1628276629,44414.79432,44414.79432,24190,158,1.539551059,1.585372537,"Photo shared by Tim - Shmee on August 06, 2021 tagging @mercedesamg, @shmee150wastaken, @theshmeemobiles, and @theshmuseum. May be an image of car.",My AMG Black Series trio are finally together at theshmuseum Its a dream come true to have these three incredibly special cars in theshmeemobiles collection and now for the first time all here following pickup of the SLS BS from avantgarde_mb fully ready to go After taking delivery of the GT BS and C63 BS recently Ive been itching to bring the SLS BS home and now need to start planning a tour to Affalterbach Mercedes AMG BlackSeries Shmeemobile TheShmuseum Shmee150,Mercedes ,AMG ,BlackSeries ,Shmeemobile ,TheShmuseum ,Shmee150,,,,,
11,shmee150,1581500,2857,10552,CSKcS1PieRv,1628103012,44412.78486,44412.78486,20139,71,1.277900727,1.585372537,"Photo shared by Tim - Shmee on August 04, 2021 tagging @shmee150wastaken, and @theshmeemobiles. May be an image of 1 person, car and road.",Back to the old school car spotting in London with theshmeemobiles original V8 Vantage Roadster It feels like a decade ago enjoying the Aston and filming Aventadors they just changed from the original LP7004 to the SVJs Plus found a Huayra Roadster and LaFerrari too all in my new video taking a walk down memory lane with a truly special car in my collection Lamborghini Aventador SVJ carspotting AstonMartin Vantage Shmeemobile londoncars Shmee150,Lamborghini ,Aventador ,SVJ ,carspotting ,AstonMartin ,Vantage ,Shmeemobile ,londoncars ,Shmee150,,
12,diwd_official,322747,1846,4163,CSxJrglL0Ve,1629401876,44427.81801,44427.81801,10238,72,3.194452621,3.156884495,"Photo by DOITWITHDANâ„¢ on August 19, 2021. May be an image of car and outdoors.",These are my two favorites After the dually is done Im finishing the 73 I cant stop looking at old photos and videos of it,,,,,,,,,,,
13,diwd_official,322747,1846,4163,CSvMcGNp8XA,1629336214,44427.05803,44427.05803,3092,15,0.962673549,3.156884495,"Photo shared by DOITWITHDANâ„¢ on August 18, 2021 tagging @atlantacustomwraps, @killboydotcom, and @smokymountaindrives_. May be an image of car and road.",Yo Dragon Rally XI is this weekend An absolutely epic chance to run the dragon with the best drivers on the road Im not in that category  but smokymountaindrives_ go check them out,,,,,,,,,,,
14,diwd_official,322747,1846,4163,CSnI2curHnM,1629065897,44423.92936,44423.92936,16981,302,5.354968443,3.156884495,"Photo by DOITWITHDANâ„¢ on August 15, 2021. May be an image of 3 people and text that says 'The U.S: *Withdraws from Afghanistan after 20 years of occupation The Taliban:'.",This shit is messed up on a real note,,,,,,,,,,,
15,diwd_official,322747,1846,4163,CSiUMZ7sjBW,1628904072,44422.05639,44422.05639,6988,36,2.176317673,3.156884495,"Photo by DOITWITHDANâ„¢ on August 13, 2021. May be an image of car and outdoors.",Door still go up We dropped a new podcast on WrapLife today with atlantacustomwraps killboydotcom and mac_man_atl,,,,,,,,,,,
16,diwd_official,322747,1846,4163,CSgEH6PMmea,1628828538,44421.18215,44421.18215,3408,23,1.063061779,3.156884495,"Photo by DOITWITHDANâ„¢ on August 12, 2021. May be an image of car.",Late night creepin,,,,,,,,,,,
17,diwd_official,322747,1846,4163,CSe1wnQlwNc,1628787478,44420.70692,44420.70692,15351,102,4.787960849,3.156884495,,,,,,,,,,,,,
18,diwd_official,322747,1846,4163,CSax5KdMXv0,1628651207,44419.12971,44419.12971,7589,382,2.469736357,3.156884495,"Photo shared by DOITWITHDANâ„¢ on August 10, 2021 tagging @atlantacustomwraps, @killboydotcom, and @justinacw_wraplife. May be an image of car and road.",Yo so Justin and I have been kicking around the idea of doing a raffle Like we fly you out and hang Do some cool shit Ride around in the mountains in supercars etc  But we wanna make sure that is something you guys would wanna do That being said does that sound like fun to yall Wed have a blast doing it and I think some of you would too Lemme know if we should,,,,,,,,,,,
19,diwd_official,322747,1846,4163,CSaCdDrltnI,1628626336,44418.84185,44418.84185,7985,64,2.493903894,3.156884495,"Photo by DOITWITHDANâ„¢ on August 10, 2021.",Swapped the door panels and dash and now its time to build the center console Got a mini fridge for it too,,,,,,,,,,,
20,diwd_official,322747,1846,4163,CSTTGc-MpbI,1628400182,44416.22433,44416.22433,9244,48,2.879035282,3.156884495,"Photo by DOITWITHDANâ„¢ on August 07, 2021. May be an image of 1 person and text that says 'Fear factor enitrouspart For this next challenge, you're gonna have to get out of a hammock on ketamine'.",pull that up Jamie lets see that,,,,,,,,,,,
21,diwd_official,322747,1846,4163,CSQIzoMM5AO,1628294122,44414.99678,44414.99678,10220,142,3.210564312,3.156884495,"Photo by DOITWITHDANâ„¢ on August 06, 2021. May be an image of text that says 'the Ate half my sandwich prolly save other half for later'.",Still kinda hungry tho,,,,,,,,,,,
22,diwd_official,322747,1846,4163,CSP29IGLNCa,1628284763,44414.88846,44414.88846,9237,86,2.888640328,3.156884495,"Photo by DOITWITHDANâ„¢ on August 06, 2021.",Back to chrome I missed the all chrome centers so I removed the dip,,,,,,,,,,,
23,diwd_official,322747,1846,4163,CSNAhQrrfSF,1628189114,44413.78141,44413.78141,20361,299,6.40129885,3.156884495,"Photo by DOITWITHDANâ„¢ on August 05, 2021. May be an image of â€Žtext that says 'â€ŽAbout This Vehicle à°ˆÙ‡ Sport Driven 4,100 miles Engine size: 600cc i Manual transmission Exterior: White Description ë‚˜0ë‹Œ purchased this gsxr 600 4 days ago as my first bike. I've laid it down twice today at about 5 mph both times and I'm over it. Fuck motorcycles, I'm going back to cars. Someone come take this thing away. Just trying to get what paid for it back- minus the damage I've caused. Citan 4,100 miles I'm great condition besides the dings I've put on it today. Would trade plus cash for a 350zRead Lessâ€Ž'â€Ž.",Looking at bikes on FB Marketplace and came across this gem  Im not making fun of this dude I get it riding aint for everyone But I wanna be like give It a few more tries And then offer 2k less when he crashes it again ,,,,,,,,,,,
24,thatdudeinblue,263927,1087,3410,CS2Do8oHtP4,1629566481,44429.72316,44429.72316,4015,10,1.52504291,2.777219964,"Photo shared by David Patterson on August 21, 2021 tagging @dallasperformance. May be an image of 1 person, car and road.",Starting todays video shoot off right dallasperformance lambo twinturbo tt ttlambo huracan huracanperfomante,lambo ,twinturbo ,tt ,ttlambo ,huracan ,huracanperfomante,,,,,
25,thatdudeinblue,263927,1087,3410,CSnE_C0nPwJ,1629064016,44423.90759,44423.90759,14357,100,5.477651017,2.777219964,,Driving a BRAND NEW manual sports car is SUCH a delight Cadillac threw me the keys to the new 668HP Blackwing and asked me for my thoughts Full video now live on the channel Link in bio thatdudeinblue ct5vblackwing ct5v cadillac cars manualtransmission manual lt4 boost sixspeed horsepower,thatdudeinblue ,ct5vblackwing ,ct5v ,cadillac ,cars ,manualtransmission ,manual ,lt4 ,boost ,sixspeed ,horsepower
26,thatdudeinblue,263927,1087,3410,CSaWn1tnB4Q,1628637036,44418.96569,44418.96569,3987,20,1.518222842,2.777219964,,Finally back Todays video we drive this absolutely insane twin turbo Boss 302 that makes 900HP I go through the process of the build and how to make something like this happen Link in bio thatdudeinblue boss302 mustang twinturbo coyote mach1 ford fordperformance 302nightmares,thatdudeinblue ,boss302 ,mustang ,twinturbo ,coyote ,mach1 ,ford ,fordperformance,,,
27,thatdudeinblue,263927,1087,3410,CSMzugCngJW,1628182407,44413.70378,44413.70378,8833,53,3.366840073,2.777219964,"Photo shared by David Patterson on August 05, 2021 tagging @thatgirlinred. May be an image of 1 person, monument and outdoors.",Incase youve been wondering where Ive been while MIA Weve have traveled to some pretty amazing places on vacationfilming Thanks to everybody who is patient with content thatdudeinblue adventuredrives adventure thatgirlinred adventuredrives,thatdudeinblue ,adventuredrives ,adventure,,,,,,,,
28,thatdudeinblue,263927,1087,3410,CR2MzjwjBTp,1627423803,44404.92365,44404.92365,8401,30,3.194443918,2.777219964,"Photo by David Patterson in VIRginia International Raceway with @ms.emelia, @pushingpistons, and @engineeringexplained. May be an image of 4 people and people standing.",Friends in all the right places Nothing like seeing great people and fast cars Also msemelia trying to be as tall as engineeringexplained  pushingpistons thatdudeinblue cars cadillac blackwing ctsv ct5vblackwing ct4vblackwing,thatdudeinblue ,cars ,cadillac ,blackwing ,ctsv ,ct5vblackwing ,ct4vblackwing,,,,
29,thatdudeinblue,263927,1087,3410,CRsHejED1CG,1627085465,44401.0077,44401.0077,6772,31,2.577606687,2.777219964,"Photo shared by David Patterson on July 23, 2021 tagging @boosted_92_eg_hatch. May be an image of car and outdoors.",The Green Dragon is the fastest Honda Ive ever filmed 900 AWD HP that weighs nothing Definitely check out the INSANE video Link in bio thatdudeinblue honda eg turbo k20 boost boosted_92_eg_hatch,thatdudeinblue ,honda ,eg ,turbo ,k20 ,boost,,,,,
30,thatdudeinblue,263927,1087,3410,CRpTYNVj5vt,1626991111,44399.91564,44399.91564,10621,69,4.050362411,2.777219964,,I drove an INSANE 900HP AWD Honda Civicand then broke it Link in bio for todays awesome video thatdudeinblue honda civic eg awd k20 turbo,thatdudeinblue ,honda ,civic ,eg ,awd ,k20 ,turbo,,,,
31,thatdudeinblue,263927,1087,3410,CRenxjCjSeO,1626632636,44395.76662,44395.76662,4229,12,1.606883722,2.777219964,"Photo shared by David Patterson on July 18, 2021 tagging @kob_dc2r. May be an image of 1 person, outdoors and text that says 'Race Racetech TALL PINES'.",Smile like you mean it  thatdudeinblue integratyper racecar review integra honda acura,thatdudeinblue ,integratyper ,racecar ,review ,integra ,honda ,acura,,,,
32,thatdudeinblue,263927,1087,3410,CRUsQ4aD3sd,1626299446,44391.91025,44391.91025,7096,51,2.707945758,2.777219964,"Photo by David Patterson on July 14, 2021. May be an image of car and road.",Something comforting thatdudeinblue subzero s550 mustang mustanggt coyote,,,,,,,,,,,
