Author,Likes,Comments,Neg,Neu,Pos,Compound
Jaclynhill,3861719.0,85592.0,0.409,11.141,3.4499999999999997,8.509
diwd_official,163822.0,3016.0,0.991,13.943999999999999,1.063,3.0886000000000005
garyvee,263010.0,4988.0,0.246,4.409,0.346,0.5292
glamlifeguru,1451243.0,101947.0,0.557,11.826999999999998,1.616,1.859
hudabeauty,1477148.0,14540.0,0.31700000000000006,25.944000000000003,6.739,21.9112
jamescharles,18221467.0,413099.0,1.339,11.229000000000003,1.432,2.1621
rclbeauty101,544719.0,11318.0,0.386,12.355,1.2610000000000001,1.3346000000000002
shmee150,343622.0,2000.0,0.35,12.364999999999998,1.2859999999999998,5.5713
thatdudeinblue,122749.0,749.0,0.8599999999999999,12.004000000000001,2.137,4.504700000000001
thesmokingtire,49193.0,757.0,0.6,10.208,1.193,3.2744
