,author,shortcode,timestamp,likes,comments,caption,text
0,shmee150,CSzoxcyrzj2,1629485286,19080,49,"Photo shared by Tim - Shmee on August 20, 2021 tagging @philwilson, @shmee150wastaken, and @bannedauto. May be an image of 1 person and car.","Back at the wheel of an SF90! With @bannedauto and @philwilson I'm checking out this stunning Assetto Fiorano car and thinking about the final spec I'll opt for mine, which actually needs to be locked next month. I'm also delighted to say that again the car has impressed me, I think it's one of the very best supercars currently on the market, mixing insane performance with new technology in such a seamless way. Needless to say, I'm quite excited about it! #Ferrari #SF90 #futureshmeemobile #AssettoFiorano #BannedAuto #LAcars #Shmee150"
1,shmee150,CSr2jQPjy59,1629224075,22143,100,"Photo shared by Tim - Shmee on August 17, 2021 tagging @ct2go, @shmee150wastaken, and @supercarsteven. May be an image of car and road.","It's a P1 kinda day! Out for a drive in @supercarsteven's newly purchased Ice Silver P1, in a double convoy with @ct2go's full carbon P1 too. Does make me wonder about P1 vs Senna, two very different Ultimate Series cars in their approach, and still remarkable how game changing the P1 was when presented nearly 9 years ago! #McLaren #P1 #McLarenP1 #testdrive #CarWeek #Shmee150"
2,shmee150,CSpWzdxJIIV,1629140321,21606,130,"Photo shared by Tim - Shmee on August 16, 2021 tagging @mercedesbenz, @mercedesbenzmuseum, @mbclassiccenter, and @shmee150wastaken. May be an image of 1 person, car and outdoors.","The beautiful 300SL Roadster is without a shadow of a doubt my dream classic car. Driving this particular example that's for sale with @mbclassiccenter, thanks to @mercedesbenzmuseum, while car spotting countless hypercars around Pebble Beach could not be better! Maybe one day for @theshmeemobiles, maybe one day... #Mercedes #300SL #PebbleBeach #CarWeek #testdrive #Shmee150"
3,shmee150,CSkdxyJAk2n,1628976206,30069,113,"Photo shared by Tim - Shmee on August 14, 2021 tagging @bugatti, @thequailevents, and @shmee150wastaken. May be an image of car and outdoors.","The breathtaking @bugatti Bolide at @thequailevents which is now going into production, there will be 40 of them made. This year had some awesome cars on show, with the new Lamborghini Countach also making its debut #Bugatti #Bolide #Quail #CarWeek #Shmee150"
4,shmee150,CSfHSEzi3BD,1628796639,34073,140,"Photo shared by Tim - Shmee on August 12, 2021 tagging @astonmartinlagonda, and @shmee150wastaken. May be an image of car.","The new @astonmartinlagonda Valkyrie Spider has just launched and I've taken a first look to check it out and see how the new roof system works. There will be 85 units in total, and it features a 3 piece folding roof panel, with new dihedral doors but maintains the same epic powertrain and details. First look video is live on the channel right now! #AstonMartin #Valkyrie #ValkyrieSpider #firstlook #PebbleBeach #CarWeek #Shmee150"
5,shmee150,CScxYOcCz0-,1628718046,22265,110,"Photo shared by Tim - Shmee on August 11, 2021 tagging @shmee150wastaken, and @czinger_vehicles. May be an image of car and outdoors.","First stop at Car Week to check out the updated @czinger_vehicles 21C! Now the lap record holder at Laguna Seca, it features a wider body and even more aero, while still boasting a 2.88l TT V8 and 3 electric motors for 1,250hp while weighing just 1,250kg too. Uniquely it features inline tandem seating with a central position, and must make for the most extraordinary drive #Czinger #Czinger21C #CarWeek #Shmee150"
6,shmee150,CScN67giFvV,1628699456,13466,77,"Photo shared by Tim - Shmee on August 11, 2021 tagging @porsche, @shmee150wastaken, and @hgreglux. May be an image of car and road.","Driving the stunning Porsche Targa 4S Heritage Design Edition thanks to @hgreglux in Miami! The details on this car are spectacular, and I actually would have bought one if allocations had been available, but today I'm taking my first proper look around it and going out for a drive, to see what I'm missing out on. Here in Florida, H Greg Lux actually have 3 of them for sale in different specs, this one in Cherry Red with a manual gearbox is my pick for sure #Porsche #911Targa #HeritageDesignEdition #testdrive #HGregLux #Miami #Shmee150"
7,shmee150,CSZ1qZfi1mw,1628619629,20223,56,"Photo shared by Tim - Shmee on August 10, 2021 tagging @savagegarage, and @shmee150wastaken. May be an image of 1 person, standing, car and outdoors.","Randy @savagegarage has bought back his Pagani Huayra! I never saw it when he owned it before but what a car for him to have in the collection and actually drive as much as he does. Oh, that SLS Black Series is new too, good choice! #SavageGarage #Pagani #Huayra #Miami #Shmee150"
8,shmee150,CSWxTcgr1gy,1628516681,26925,192,"Photo shared by Tim - Shmee on August 09, 2021 tagging @fordperformance, @ford, @shelbyamerican, @shmee150wastaken, and @theshmeemobiles. May be an image of car and road.","Reunited with @theshmeemobiles lime green beast! Back in Miami for a quick stop before heading to California and Car Week for some crazy days ahead. It's so cool to be back with the GT500 after about 4 months where it's been tucked away in Florida, although sadly everything is too last minute to be able to get it across country for the events. That won't stop the fun though, it's great to be back! #Shelby #GT500 #Ford #Mustang #Shmeemobile #Shmee150"
9,shmee150,CSUvz2ppJvy,1628448789,44913,584,"Photo shared by Tim - Shmee on August 08, 2021 tagging @mercedesamg, and @theshmeemobiles. May be an image of car.","It's time! @theshmeemobiles AMG GT Black Series is being resprayed AMG Solarbeam Yellow, and I cannot wait to see how it looks. This was always the plan hence the choice of Graphite Grey Magno for the base as it's the easiest to work with. The transformation is being done by @chartwell_derby just as per my SLS BS respray to Mystic Blue and the repairs to my Senna before. Why not just order it like this you say? It wasn't an option, and believe me I tried. It was absolutely impossible to order the car (RHD UK allocation) in anything other than the standard 8 choices available so this is the only way. What about the value? Life is too short, I'm going to do many thousands of miles in this car for many years to come, reselling it is not in the plans. #Mercedes #AMG #GTBlackSeries #Shmeemobile #Shmee150"
