Sentence ID,Dialogue ID,author,shortcode,timestamp,likes,comments,caption,text,Hash_tag2,token_txt
0,0,shmee150,CSzoxcyrzj2,2021-08-20 18:48:06,19080,49,"Photo shared by Tim - Shmee on August 20, 2021 tagging @philwilson, @shmee150wastaken, and @bannedauto. May be an image of 1 person and car.","Back at the wheel of an SF90! With @bannedauto and @philwilson I'm checking out this stunning Assetto Fiorano car and thinking about the final spec I'll opt for mine, which actually needs to be locked next month. I'm also delighted to say that again the car has impressed me, I think it's one of the very best supercars currently on the market, mixing insane performance with new technology in such a seamless way. Needless to say, I'm quite excited about it! #Ferrari #SF90 #futureshmeemobile #AssettoFiorano #BannedAuto #LAcars #Shmee150","[['Ferrari'], ['SF90'], ['futureshmeemobile'], ['AssettoFiorano'], ['BannedAuto'], ['LAcars'], ['Shmee150']]",Back at the wheel of an SF90!
0,0,shmee150,CSzoxcyrzj2,2021-08-20 18:48:06,19080,49,"Photo shared by Tim - Shmee on August 20, 2021 tagging @philwilson, @shmee150wastaken, and @bannedauto. May be an image of 1 person and car.","Back at the wheel of an SF90! With @bannedauto and @philwilson I'm checking out this stunning Assetto Fiorano car and thinking about the final spec I'll opt for mine, which actually needs to be locked next month. I'm also delighted to say that again the car has impressed me, I think it's one of the very best supercars currently on the market, mixing insane performance with new technology in such a seamless way. Needless to say, I'm quite excited about it! #Ferrari #SF90 #futureshmeemobile #AssettoFiorano #BannedAuto #LAcars #Shmee150","[['Ferrari'], ['SF90'], ['futureshmeemobile'], ['AssettoFiorano'], ['BannedAuto'], ['LAcars'], ['Shmee150']]","With @bannedauto and @philwilson I'm checking out this stunning Assetto Fiorano car and thinking about the final spec I'll opt for mine, which actually needs to be locked next month."
0,0,shmee150,CSzoxcyrzj2,2021-08-20 18:48:06,19080,49,"Photo shared by Tim - Shmee on August 20, 2021 tagging @philwilson, @shmee150wastaken, and @bannedauto. May be an image of 1 person and car.","Back at the wheel of an SF90! With @bannedauto and @philwilson I'm checking out this stunning Assetto Fiorano car and thinking about the final spec I'll opt for mine, which actually needs to be locked next month. I'm also delighted to say that again the car has impressed me, I think it's one of the very best supercars currently on the market, mixing insane performance with new technology in such a seamless way. Needless to say, I'm quite excited about it! #Ferrari #SF90 #futureshmeemobile #AssettoFiorano #BannedAuto #LAcars #Shmee150","[['Ferrari'], ['SF90'], ['futureshmeemobile'], ['AssettoFiorano'], ['BannedAuto'], ['LAcars'], ['Shmee150']]","I'm also delighted to say that again the car has impressed me, I think it's one of the very best supercars currently on the market, mixing insane performance with new technology in such a seamless way."
0,0,shmee150,CSzoxcyrzj2,2021-08-20 18:48:06,19080,49,"Photo shared by Tim - Shmee on August 20, 2021 tagging @philwilson, @shmee150wastaken, and @bannedauto. May be an image of 1 person and car.","Back at the wheel of an SF90! With @bannedauto and @philwilson I'm checking out this stunning Assetto Fiorano car and thinking about the final spec I'll opt for mine, which actually needs to be locked next month. I'm also delighted to say that again the car has impressed me, I think it's one of the very best supercars currently on the market, mixing insane performance with new technology in such a seamless way. Needless to say, I'm quite excited about it! #Ferrari #SF90 #futureshmeemobile #AssettoFiorano #BannedAuto #LAcars #Shmee150","[['Ferrari'], ['SF90'], ['futureshmeemobile'], ['AssettoFiorano'], ['BannedAuto'], ['LAcars'], ['Shmee150']]","Needless to say, I'm quite excited about it!"
0,0,shmee150,CSzoxcyrzj2,2021-08-20 18:48:06,19080,49,"Photo shared by Tim - Shmee on August 20, 2021 tagging @philwilson, @shmee150wastaken, and @bannedauto. May be an image of 1 person and car.","Back at the wheel of an SF90! With @bannedauto and @philwilson I'm checking out this stunning Assetto Fiorano car and thinking about the final spec I'll opt for mine, which actually needs to be locked next month. I'm also delighted to say that again the car has impressed me, I think it's one of the very best supercars currently on the market, mixing insane performance with new technology in such a seamless way. Needless to say, I'm quite excited about it! #Ferrari #SF90 #futureshmeemobile #AssettoFiorano #BannedAuto #LAcars #Shmee150","[['Ferrari'], ['SF90'], ['futureshmeemobile'], ['AssettoFiorano'], ['BannedAuto'], ['LAcars'], ['Shmee150']]",#Ferrari #SF90 #futureshmeemobile #AssettoFiorano #BannedAuto #LAcars #Shmee150
1,1,shmee150,CSr2jQPjy59,2021-08-17 18:14:35,22143,100,"Photo shared by Tim - Shmee on August 17, 2021 tagging @ct2go, @shmee150wastaken, and @supercarsteven. May be an image of car and road.","It's a P1 kinda day! Out for a drive in @supercarsteven's newly purchased Ice Silver P1, in a double convoy with @ct2go's full carbon P1 too. Does make me wonder about P1 vs Senna, two very different Ultimate Series cars in their approach, and still remarkable how game changing the P1 was when presented nearly 9 years ago! #McLaren #P1 #McLarenP1 #testdrive #CarWeek #Shmee150","[['McLaren'], ['P1'], ['McLarenP1'], ['testdrive'], ['CarWeek'], ['Shmee150']]",It's a P1 kinda day!
1,1,shmee150,CSr2jQPjy59,2021-08-17 18:14:35,22143,100,"Photo shared by Tim - Shmee on August 17, 2021 tagging @ct2go, @shmee150wastaken, and @supercarsteven. May be an image of car and road.","It's a P1 kinda day! Out for a drive in @supercarsteven's newly purchased Ice Silver P1, in a double convoy with @ct2go's full carbon P1 too. Does make me wonder about P1 vs Senna, two very different Ultimate Series cars in their approach, and still remarkable how game changing the P1 was when presented nearly 9 years ago! #McLaren #P1 #McLarenP1 #testdrive #CarWeek #Shmee150","[['McLaren'], ['P1'], ['McLarenP1'], ['testdrive'], ['CarWeek'], ['Shmee150']]","Out for a drive in @supercarsteven's newly purchased Ice Silver P1, in a double convoy with @ct2go's full carbon P1 too."
1,1,shmee150,CSr2jQPjy59,2021-08-17 18:14:35,22143,100,"Photo shared by Tim - Shmee on August 17, 2021 tagging @ct2go, @shmee150wastaken, and @supercarsteven. May be an image of car and road.","It's a P1 kinda day! Out for a drive in @supercarsteven's newly purchased Ice Silver P1, in a double convoy with @ct2go's full carbon P1 too. Does make me wonder about P1 vs Senna, two very different Ultimate Series cars in their approach, and still remarkable how game changing the P1 was when presented nearly 9 years ago! #McLaren #P1 #McLarenP1 #testdrive #CarWeek #Shmee150","[['McLaren'], ['P1'], ['McLarenP1'], ['testdrive'], ['CarWeek'], ['Shmee150']]","Does make me wonder about P1 vs Senna, two very different Ultimate Series cars in their approach, and still remarkable how game changing the P1 was when presented nearly 9 years ago!"
1,1,shmee150,CSr2jQPjy59,2021-08-17 18:14:35,22143,100,"Photo shared by Tim - Shmee on August 17, 2021 tagging @ct2go, @shmee150wastaken, and @supercarsteven. May be an image of car and road.","It's a P1 kinda day! Out for a drive in @supercarsteven's newly purchased Ice Silver P1, in a double convoy with @ct2go's full carbon P1 too. Does make me wonder about P1 vs Senna, two very different Ultimate Series cars in their approach, and still remarkable how game changing the P1 was when presented nearly 9 years ago! #McLaren #P1 #McLarenP1 #testdrive #CarWeek #Shmee150","[['McLaren'], ['P1'], ['McLarenP1'], ['testdrive'], ['CarWeek'], ['Shmee150']]",#McLaren #P1 #McLarenP1 #testdrive #CarWeek #Shmee150
2,2,shmee150,CSpWzdxJIIV,2021-08-16 18:58:41,21606,130,"Photo shared by Tim - Shmee on August 16, 2021 tagging @mercedesbenz, @mercedesbenzmuseum, @mbclassiccenter, and @shmee150wastaken. May be an image of 1 person, car and outdoors.","The beautiful 300SL Roadster is without a shadow of a doubt my dream classic car. Driving this particular example that's for sale with @mbclassiccenter, thanks to @mercedesbenzmuseum, while car spotting countless hypercars around Pebble Beach could not be better! Maybe one day for @theshmeemobiles, maybe one day... #Mercedes #300SL #PebbleBeach #CarWeek #testdrive #Shmee150","[['Mercedes'], ['300SL'], ['PebbleBeach'], ['CarWeek'], ['testdrive'], ['Shmee150']]",The beautiful 300SL Roadster is without a shadow of a doubt my dream classic car.
