,account,bio,followers,following,posts
0,shmee150,"YouTuber - Living the Supercar Dream
Own some cars @theshmeemobiles @theshmuseum",1581500,2857,10552
1,diwd_official,"Imagine a mechanic, but like the opposite of that. 
""If you're gunna be dumb, you gotta be tough""",322747,1846,4163
2,thatdudeinblue,"I’m here for the smiles per gallon 
+ For you: @pattersoncarcare🔹
+ New content ⤵️",263927,1087,3410
3,thesmokingtire,"I make The Smoking Tire. But you’re also gonna see cats, watches, and food. You've been warned.",291290,1116,5956
4,hudabeauty,"Makeup Artist & Blogger @huda 
Founder of @wishfulskin 
Products are tested on Huda, NOT animals 🐾
WILD OBSESSIONS🐍 now available👇🏾",49193547,889,1536
5,jamescharles,"Blend, but don’t blend in. 🎨💞
✉️ business@spinandco.com",25090038,259,1001
6,rclbeauty101,@rclocosmetics,3454095,175,1411
7,glamlifeguru,"Dual CEO | Tati Beauty + Halo Beauty
🤗 9 Million On YouTube! 
✨ Twitter: GlamLifeGuru
🎥 SKINCARE OBSESSIONS",2272987,320,1275
8,Jaclynhill,@jaclynhillcosmetics,6661077,510,1603
9,garyvee,"✈️ CEO of @vaynermedia & @vaynersports 
🔮 Early Investor Coinbase,Venmo, Twitter
☎️ Text me 1-212-931-5731
🐈‍⬛ Creator of @veefriends",9166019,5615,6962
10,grantcardone,"Star of Undercover Billionaire 💵 
CEO @CardoneCapital $2.5B AUM
👇Download a FREE Business Plan👇",3396191,2444,6566
11,thesharkdaymond,"The People’s Shark 🦈
CEO @thesharkgroup & @fubu Founder",1307414,970,5665
12,chiaraferragni,Leo and Vitto’s mama and digital entrepreneur Boss baby. Founder @chiaraferragnibrand 🙏🏻 WATCH MY DOC @chiaraferragniunposted ON PRIME VIDEO 🎬,24627104,1411,14939
13,oliviapalermo,"Founder & CCO of the Olivia Palermo Group; Founder of @OliviaPalermoBeauty⁣⁣
⁣
@dressforsuccess Impact Ambassador⁣",6664720,417,1744
14,marianodivaio,"If God is with me, whom shall I fear?
Italian Designer.",6407298,310,7864
15,teachingmensfashion,"Married to @karlaaazuniga_ 
Husband. Father. Entrepreneur.
@_esntls @jadeblack.co @he_grooming @manscaped @santaluciafragrance",1451774,137,1050
16,evelina,"Owner & designer @imprevubrand 
Mgmt: evelina@addition-llc.com
🔻My brand IMPRÉVU🔻",522053,412,2802
17,jamieoliver,"Chef & Dad
Recipe links, book links & more right here 👇",8685926,2550,8640
18,rosannapansino,"YouTuber, Baker, NYT’s Best Selling Author, Host of 'Baketopia' on HBO Max! 
Watch New Video!👇🏼",4353599,268,3126
19,bingingwithbabish,Jiggly Soufflé Omelette,1084802,419,958
20,junskitchen,,161905,51,103
21,Ninja,🔥 NEW MERCH IS LIVE 🔥 business@teamninja.com,13759895,263,1155
22,markiplier,,9086425,75,1071
23,SSSniperWolf,I like food & anime,5253242,472,1565
24,unboxtherapy,Where products get naked.,2218182,135,3418
25,MKBHD,I promise I won't overdo the filters.,3053185,423,1675
26,kayla_itsines,"💧 @SWEAT Co-Founder
MY PROGRAMS
🔥High Intensity 
🌟HIIT Cardio & Abs 
💪Strength 
💁🏻‍♀️Low Impact
🙅🏻‍♀️Zero Equipment
🤱🏻Post Pregnancy
7 day FREE trial👇",13255816,725,9866
27,michelle_lewin,👇🏻Train with me👇🏻Entrena conmigo!,14130947,310,1607
28,simeonpanda,"@elimin8challenge get 💵 to 💪 sign up below 
• @innosupps • @justliftofficial
• @boohoomanactive 
Train with me 👇
♾ Natural⁣",7872317,187,7465
29,blogilates,"✍🏼 CEO & Head Designer of @popflex_active
😂Comics @blogicomics
📱App @bodybyblogilates
🧘🏻‍♀️Creator of @poppilatesofficial",2175576,637,5746
30,whatsupmoms,"WUM is the #1 parenting network on @youtube.
Check us out for new videos weekly! 
Click here to watch 👇",125601,106,1126
31,amberfillerup,"🌵 AZ
Founder: @daehair @bfbhair",1350899,870,4415
32,glowmaven,Creative Matrix. Soulful #Doula. Yogini. Self-Care Sorceress. Founder @MamaGlow. #Oprah’s Super Soul 100. Fulano's proud #mama. Author- OWN YOUR GLOW!,136968,1527,4317
33,realmomnutrition,"No-judgement zone about feeding your family. You’re safe here.
Parents magazine Advisor, WebMD Contributor, author.",20047,970,989
34,techsavvymama,"DC area blogger & middle school computer science teacher focused on edu, family tech & teens. ❤s= 🚀 #STEM 🏃 w #StJudeHeroes 🏝 #Haiti",10728,6180,3950
35,funforlouis,Now using @louiscole,120,0,0
36,chrisburkard,"Have Camera, Will Travel.
LDS•Photographer•Speaker•Filmmaker
@burkgnar",3672847,929,4031
37,wil_dasovich,"Youtuber
Travel🌎 Outdoors⛰ Fitness🤸🏻 Nutrition🥦
✉️ For inquiries: Wddw123@yahoo.com
⬇️ Where the REAL content is! ⬇️:",854278,210,1015
38,thebucketlistfamily,"Family Travel Journalists
🌏 85 countries together - Currently : Zimbabwe 
Check out our new online shop! 🎒",2647956,522,2291
39,izkiz,"Welcome to my colourful world 🎨
British travel & lifestyle creative 𖤥 London
My apps ⇢ @izkizapp & izkizFX
💌 izkiz@influencer.com",2902659,87,1249
40,thrivewithco,"CO— is here to help you start, run and grow your business.",1476,82,144
